Claim ID,Claim,Source,Node1,Node2,Label
6,There is a capital called Mogadishu.,wiki,it,"2,425,000  residents",has
6,There is a capital called Mogadishu.,wiki,southern  Somalia,historically hunter gatherers,assert
6,There is a capital called Mogadishu.,wiki,speaking agro who,local  aristocracies,joined
6,There is a capital called Mogadishu.,wiki,medieval Golden Mogadishu,Ajuran Sultanate,ruled
6,There is a capital called Mogadishu.,wiki,It,Sultanate  Geledi,fell
6,There is a capital called Mogadishu.,wiki,city,colonial Italian period,became
6,There is a capital called Mogadishu.,wiki,Mogadishu,Indian Ocean,became
6,There is a capital called Mogadishu.,wiki,various Somali Civil militias,later Islamic Courts mid-2000s,fought
6,There is a capital called Mogadishu.,wiki,Shabaab al which,2004 Somalia allies,splintered
6,There is a capital called Mogadishu.,wiki,late government troops,military Al August,succeeded
6,There is a capital called Mogadishu.,wiki,Mogadishu,intense  reconstruction,experienced
6,There is a capital called Mogadishu.,wiki,national capital institutions,Mogadishu,based
6,There is a capital called Mogadishu.,wiki,2012 Somalia Federal Parliament,legislative  branch,is
6,There is a capital called Mogadishu.,wiki,Thabit Abdi Mohammed,April,been
6,There is a capital called Mogadishu.,wiki,Villa Somalia,principal  Somalia,is
6,There is a capital called Mogadishu.,wiki,which,Entertainment TEDx conference,established
6,There is a capital called Mogadishu.,wiki,establishment,real estate sector,galvanized
6,There is a capital called Mogadishu.,wiki,Rukun Mosque,1268/9  AD,is
6,There is a capital called Mogadishu.,wiki,Mosque,largest Horn region,is
6,There is a capital called Mogadishu.,wiki,Mogadishu Cathedral,Roman Catholic Mogadiscio,built
6,There is a capital called Mogadishu.,wiki,National Museum,important  artefacts,based
6,There is a capital called Mogadishu.,wiki,National Library,new library complex,undergoing
6,There is a capital called Mogadishu.,wiki,Mogadishu,scholastic  institutions,is
6,There is a capital called Mogadishu.,wiki,100 renewal schools,capital,scheduled
6,There is a capital called Mogadishu.,wiki,professors,governmental University -LRB- MU,established
6,There is a capital called Mogadishu.,wiki,University -LRB- BU,doctors,established
6,There is a capital called Mogadishu.,wiki,national sporting bodies,Somali Football Federation,have
6,There is a capital called Mogadishu.,wiki,Mogadishu Stadium,Chinese Siad Barre engineers,constructed
6,There is a capital called Mogadishu.,wiki,It,Somali First Division,hosts
6,There is a capital called Mogadishu.,wiki,Additionally  Port,largest  Somalia,serves
6,There is a capital called Mogadishu.,wiki,Mogadishu International Airport,national  carrier,is
7,Mogadishu is located in a country.,wiki,locally Muqdisho capital,populous  Somalia,ˌmɔːɡəˈdiːʃuː
7,Mogadishu is located in a country.,wiki,coastal Indian city,important  millennia,served
7,Mogadishu is located in a country.,wiki,it,"2,425,000  residents",has
7,Mogadishu is located in a country.,wiki,southern  Somalia,historically hunter gatherers,assert
7,Mogadishu is located in a country.,wiki,speaking agro who,local  aristocracies,joined
7,Mogadishu is located in a country.,wiki,medieval Golden Mogadishu,Ajuran Sultanate,ruled
7,Mogadishu is located in a country.,wiki,It,Sultanate  Geledi,fell
7,Mogadishu is located in a country.,wiki,city,colonial Italian period,became
7,Mogadishu is located in a country.,wiki,Mogadishu,Indian Ocean,became
7,Mogadishu is located in a country.,wiki,various Somali Civil militias,later Islamic Courts mid-2000s,fought
7,Mogadishu is located in a country.,wiki,Shabaab al which,2004 Somalia allies,splintered
7,Mogadishu is located in a country.,wiki,late government troops,military Al August,succeeded
7,Mogadishu is located in a country.,wiki,Mogadishu,intense  reconstruction,experienced
7,Mogadishu is located in a country.,wiki,national capital institutions,Mogadishu,based
7,Mogadishu is located in a country.,wiki,2012 Somalia Federal Parliament,legislative  branch,is
7,Mogadishu is located in a country.,wiki,Thabit Abdi Mohammed,April,been
7,Mogadishu is located in a country.,wiki,Villa Somalia,principal  Somalia,is
7,Mogadishu is located in a country.,wiki,which,Entertainment TEDx conference,established
7,Mogadishu is located in a country.,wiki,establishment,real estate sector,galvanized
7,Mogadishu is located in a country.,wiki,Rukun Mosque,1268/9  AD,is
7,Mogadishu is located in a country.,wiki,Mosque,largest Horn region,is
7,Mogadishu is located in a country.,wiki,Mogadishu Cathedral,Roman Catholic Mogadiscio,built
7,Mogadishu is located in a country.,wiki,National Museum,important  artefacts,based
7,Mogadishu is located in a country.,wiki,National Library,new library complex,undergoing
7,Mogadishu is located in a country.,wiki,Mogadishu,scholastic  institutions,is
7,Mogadishu is located in a country.,wiki,100 renewal schools,capital,scheduled
7,Mogadishu is located in a country.,wiki,professors,governmental University -LRB- MU,established
7,Mogadishu is located in a country.,wiki,University -LRB- BU,doctors,established
7,Mogadishu is located in a country.,wiki,national sporting bodies,Somali Football Federation,have
7,Mogadishu is located in a country.,wiki,Mogadishu Stadium,Chinese Siad Barre engineers,constructed
7,Mogadishu is located in a country.,wiki,It,Somali First Division,hosts
7,Mogadishu is located in a country.,wiki,Additionally  Port,largest  Somalia,serves
7,Mogadishu is located in a country.,wiki,Mogadishu International Airport,national  carrier,is
8,Mogadishu is a city.,wiki,locally Muqdisho capital,populous  Somalia,ˌmɔːɡəˈdiːʃuː
8,Mogadishu is a city.,wiki,coastal Indian city,important  millennia,served
8,Mogadishu is a city.,wiki,it,"2,425,000  residents",has
8,Mogadishu is a city.,wiki,southern  Somalia,historically hunter gatherers,assert
8,Mogadishu is a city.,wiki,speaking agro who,local  aristocracies,joined
8,Mogadishu is a city.,wiki,medieval Golden Mogadishu,Ajuran Sultanate,ruled
8,Mogadishu is a city.,wiki,It,Sultanate  Geledi,fell
8,Mogadishu is a city.,wiki,city,colonial Italian period,became
8,Mogadishu is a city.,wiki,Mogadishu,Indian Ocean,became
8,Mogadishu is a city.,wiki,various Somali Civil militias,later Islamic Courts mid-2000s,fought
8,Mogadishu is a city.,wiki,Shabaab al which,2004 Somalia allies,splintered
8,Mogadishu is a city.,wiki,late government troops,military Al August,succeeded
8,Mogadishu is a city.,wiki,Mogadishu,intense  reconstruction,experienced
8,Mogadishu is a city.,wiki,national capital institutions,Mogadishu,based
8,Mogadishu is a city.,wiki,2012 Somalia Federal Parliament,legislative  branch,is
8,Mogadishu is a city.,wiki,Thabit Abdi Mohammed,April,been
8,Mogadishu is a city.,wiki,Villa Somalia,principal  Somalia,is
8,Mogadishu is a city.,wiki,which,Entertainment TEDx conference,established
8,Mogadishu is a city.,wiki,establishment,real estate sector,galvanized
8,Mogadishu is a city.,wiki,Rukun Mosque,1268/9  AD,is
8,Mogadishu is a city.,wiki,Mosque,largest Horn region,is
8,Mogadishu is a city.,wiki,Mogadishu Cathedral,Roman Catholic Mogadiscio,built
8,Mogadishu is a city.,wiki,National Museum,important  artefacts,based
8,Mogadishu is a city.,wiki,National Library,new library complex,undergoing
8,Mogadishu is a city.,wiki,Mogadishu,scholastic  institutions,is
8,Mogadishu is a city.,wiki,100 renewal schools,capital,scheduled
8,Mogadishu is a city.,wiki,professors,governmental University -LRB- MU,established
8,Mogadishu is a city.,wiki,University -LRB- BU,doctors,established
8,Mogadishu is a city.,wiki,national sporting bodies,Somali Football Federation,have
8,Mogadishu is a city.,wiki,Mogadishu Stadium,Chinese Siad Barre engineers,constructed
8,Mogadishu is a city.,wiki,It,Somali First Division,hosts
8,Mogadishu is a city.,wiki,Additionally  Port,largest  Somalia,serves
8,Mogadishu is a city.,wiki,Mogadishu International Airport,national  carrier,is
9,Mogadishu is a capital city.,wiki,locally Muqdisho capital,populous  Somalia,ˌmɔːɡəˈdiːʃuː
9,Mogadishu is a capital city.,wiki,coastal Indian city,important  millennia,served
9,Mogadishu is a capital city.,wiki,it,"2,425,000  residents",has
9,Mogadishu is a capital city.,wiki,southern  Somalia,historically hunter gatherers,assert
9,Mogadishu is a capital city.,wiki,speaking agro who,local  aristocracies,joined
9,Mogadishu is a capital city.,wiki,medieval Golden Mogadishu,Ajuran Sultanate,ruled
9,Mogadishu is a capital city.,wiki,It,Sultanate  Geledi,fell
9,Mogadishu is a capital city.,wiki,city,colonial Italian period,became
9,Mogadishu is a capital city.,wiki,Mogadishu,Indian Ocean,became
9,Mogadishu is a capital city.,wiki,various Somali Civil militias,later Islamic Courts mid-2000s,fought
9,Mogadishu is a capital city.,wiki,Shabaab al which,2004 Somalia allies,splintered
9,Mogadishu is a capital city.,wiki,late government troops,military Al August,succeeded
9,Mogadishu is a capital city.,wiki,Mogadishu,intense  reconstruction,experienced
9,Mogadishu is a capital city.,wiki,national capital institutions,Mogadishu,based
9,Mogadishu is a capital city.,wiki,2012 Somalia Federal Parliament,legislative  branch,is
9,Mogadishu is a capital city.,wiki,Thabit Abdi Mohammed,April,been
9,Mogadishu is a capital city.,wiki,Villa Somalia,principal  Somalia,is
9,Mogadishu is a capital city.,wiki,which,Entertainment TEDx conference,established
9,Mogadishu is a capital city.,wiki,establishment,real estate sector,galvanized
9,Mogadishu is a capital city.,wiki,Rukun Mosque,1268/9  AD,is
9,Mogadishu is a capital city.,wiki,Mosque,largest Horn region,is
9,Mogadishu is a capital city.,wiki,Mogadishu Cathedral,Roman Catholic Mogadiscio,built
9,Mogadishu is a capital city.,wiki,National Museum,important  artefacts,based
9,Mogadishu is a capital city.,wiki,National Library,new library complex,undergoing
9,Mogadishu is a capital city.,wiki,Mogadishu,scholastic  institutions,is
9,Mogadishu is a capital city.,wiki,100 renewal schools,capital,scheduled
9,Mogadishu is a capital city.,wiki,professors,governmental University -LRB- MU,established
9,Mogadishu is a capital city.,wiki,University -LRB- BU,doctors,established
9,Mogadishu is a capital city.,wiki,national sporting bodies,Somali Football Federation,have
9,Mogadishu is a capital city.,wiki,Mogadishu Stadium,Chinese Siad Barre engineers,constructed
9,Mogadishu is a capital city.,wiki,It,Somali First Division,hosts
9,Mogadishu is a capital city.,wiki,Additionally  Port,largest  Somalia,serves
9,Mogadishu is a capital city.,wiki,Mogadishu International Airport,national  carrier,is
10,Mogadishu's location is Somalia.,wiki,locally Muqdisho capital,populous  Somalia,ˌmɔːɡəˈdiːʃuː
10,Mogadishu's location is Somalia.,wiki,coastal Indian city,important  millennia,served
10,Mogadishu's location is Somalia.,wiki,it,"2,425,000  residents",has
10,Mogadishu's location is Somalia.,wiki,southern  Somalia,historically hunter gatherers,assert
10,Mogadishu's location is Somalia.,wiki,speaking agro who,local  aristocracies,joined
10,Mogadishu's location is Somalia.,wiki,medieval Golden Mogadishu,Ajuran Sultanate,ruled
10,Mogadishu's location is Somalia.,wiki,It,Sultanate  Geledi,fell
10,Mogadishu's location is Somalia.,wiki,city,colonial Italian period,became
10,Mogadishu's location is Somalia.,wiki,Mogadishu,Indian Ocean,became
10,Mogadishu's location is Somalia.,wiki,various Somali Civil militias,later Islamic Courts mid-2000s,fought
10,Mogadishu's location is Somalia.,wiki,Shabaab al which,2004 Somalia allies,splintered
10,Mogadishu's location is Somalia.,wiki,late government troops,military Al August,succeeded
10,Mogadishu's location is Somalia.,wiki,Mogadishu,intense  reconstruction,experienced
10,Mogadishu's location is Somalia.,wiki,national capital institutions,Mogadishu,based
10,Mogadishu's location is Somalia.,wiki,2012 Somalia Federal Parliament,legislative  branch,is
10,Mogadishu's location is Somalia.,wiki,Thabit Abdi Mohammed,April,been
10,Mogadishu's location is Somalia.,wiki,Villa Somalia,principal  Somalia,is
10,Mogadishu's location is Somalia.,wiki,which,Entertainment TEDx conference,established
10,Mogadishu's location is Somalia.,wiki,establishment,real estate sector,galvanized
10,Mogadishu's location is Somalia.,wiki,Rukun Mosque,1268/9  AD,is
10,Mogadishu's location is Somalia.,wiki,Mosque,largest Horn region,is
10,Mogadishu's location is Somalia.,wiki,Mogadishu Cathedral,Roman Catholic Mogadiscio,built
10,Mogadishu's location is Somalia.,wiki,National Museum,important  artefacts,based
10,Mogadishu's location is Somalia.,wiki,National Library,new library complex,undergoing
10,Mogadishu's location is Somalia.,wiki,Mogadishu,scholastic  institutions,is
10,Mogadishu's location is Somalia.,wiki,100 renewal schools,capital,scheduled
10,Mogadishu's location is Somalia.,wiki,professors,governmental University -LRB- MU,established
10,Mogadishu's location is Somalia.,wiki,University -LRB- BU,doctors,established
10,Mogadishu's location is Somalia.,wiki,national sporting bodies,Somali Football Federation,have
10,Mogadishu's location is Somalia.,wiki,Mogadishu Stadium,Chinese Siad Barre engineers,constructed
10,Mogadishu's location is Somalia.,wiki,It,Somali First Division,hosts
10,Mogadishu's location is Somalia.,wiki,Additionally  Port,largest  Somalia,serves
10,Mogadishu's location is Somalia.,wiki,Mogadishu International Airport,national  carrier,is
11,Mogadishu is a place.,wiki,locally Muqdisho capital,populous  Somalia,ˌmɔːɡəˈdiːʃuː
11,Mogadishu is a place.,wiki,coastal Indian city,important  millennia,served
11,Mogadishu is a place.,wiki,it,"2,425,000  residents",has
11,Mogadishu is a place.,wiki,southern  Somalia,historically hunter gatherers,assert
11,Mogadishu is a place.,wiki,speaking agro who,local  aristocracies,joined
11,Mogadishu is a place.,wiki,medieval Golden Mogadishu,Ajuran Sultanate,ruled
11,Mogadishu is a place.,wiki,It,Sultanate  Geledi,fell
11,Mogadishu is a place.,wiki,city,colonial Italian period,became
11,Mogadishu is a place.,wiki,Mogadishu,Indian Ocean,became
11,Mogadishu is a place.,wiki,various Somali Civil militias,later Islamic Courts mid-2000s,fought
11,Mogadishu is a place.,wiki,Shabaab al which,2004 Somalia allies,splintered
11,Mogadishu is a place.,wiki,late government troops,military Al August,succeeded
11,Mogadishu is a place.,wiki,Mogadishu,intense  reconstruction,experienced
11,Mogadishu is a place.,wiki,national capital institutions,Mogadishu,based
11,Mogadishu is a place.,wiki,2012 Somalia Federal Parliament,legislative  branch,is
11,Mogadishu is a place.,wiki,Thabit Abdi Mohammed,April,been
11,Mogadishu is a place.,wiki,Villa Somalia,principal  Somalia,is
11,Mogadishu is a place.,wiki,which,Entertainment TEDx conference,established
11,Mogadishu is a place.,wiki,establishment,real estate sector,galvanized
11,Mogadishu is a place.,wiki,Rukun Mosque,1268/9  AD,is
11,Mogadishu is a place.,wiki,Mosque,largest Horn region,is
11,Mogadishu is a place.,wiki,Mogadishu Cathedral,Roman Catholic Mogadiscio,built
11,Mogadishu is a place.,wiki,National Museum,important  artefacts,based
11,Mogadishu is a place.,wiki,National Library,new library complex,undergoing
11,Mogadishu is a place.,wiki,Mogadishu,scholastic  institutions,is
11,Mogadishu is a place.,wiki,100 renewal schools,capital,scheduled
11,Mogadishu is a place.,wiki,professors,governmental University -LRB- MU,established
11,Mogadishu is a place.,wiki,University -LRB- BU,doctors,established
11,Mogadishu is a place.,wiki,national sporting bodies,Somali Football Federation,have
11,Mogadishu is a place.,wiki,Mogadishu Stadium,Chinese Siad Barre engineers,constructed
11,Mogadishu is a place.,wiki,It,Somali First Division,hosts
11,Mogadishu is a place.,wiki,Additionally  Port,largest  Somalia,serves
11,Mogadishu is a place.,wiki,Mogadishu International Airport,national  carrier,is
12,The Cretaceous ended.,wiki,geologic  that,ago Paleogene Period Mya,is
12,The Cretaceous ended.,wiki,It,last Mesozoic Era,is
12,The Cretaceous ended.,wiki,German  translation,usually  K,abbreviated
12,The Cretaceous ended.,wiki,eustatic sea that,shallow inland seas,was
12,The Cretaceous ended.,wiki,extinct marine dinosaurs,land,populated
12,The Cretaceous ended.,wiki,new  groups,mammals,appeared
12,The Cretaceous ended.,wiki,many Paleogene extinction groups,avian  dinosaurs,ended
12,The Cretaceous ended.,wiki,geologic mass which,Mesozoic  eras,defined
13,In the Cretaceous pterosaurs and large marine reptiles died out.,wiki,geologic  that,ago Paleogene Period Mya,is
13,In the Cretaceous pterosaurs and large marine reptiles died out.,wiki,It,last Mesozoic Era,is
13,In the Cretaceous pterosaurs and large marine reptiles died out.,wiki,German  translation,usually  K,abbreviated
13,In the Cretaceous pterosaurs and large marine reptiles died out.,wiki,eustatic sea that,shallow inland seas,was
13,In the Cretaceous pterosaurs and large marine reptiles died out.,wiki,extinct marine dinosaurs,land,populated
13,In the Cretaceous pterosaurs and large marine reptiles died out.,wiki,new  groups,mammals,appeared
13,In the Cretaceous pterosaurs and large marine reptiles died out.,wiki,many Paleogene extinction groups,avian  dinosaurs,ended
13,In the Cretaceous pterosaurs and large marine reptiles died out.,wiki,geologic mass which,Mesozoic  eras,defined
14,The Cretaceous finished with a large mass extinction.,wiki,geologic  that,ago Paleogene Period Mya,is
14,The Cretaceous finished with a large mass extinction.,wiki,It,last Mesozoic Era,is
14,The Cretaceous finished with a large mass extinction.,wiki,German  translation,usually  K,abbreviated
14,The Cretaceous finished with a large mass extinction.,wiki,eustatic sea that,shallow inland seas,was
14,The Cretaceous finished with a large mass extinction.,wiki,extinct marine dinosaurs,land,populated
14,The Cretaceous finished with a large mass extinction.,wiki,new  groups,mammals,appeared
14,The Cretaceous finished with a large mass extinction.,wiki,many Paleogene extinction groups,avian  dinosaurs,ended
14,The Cretaceous finished with a large mass extinction.,wiki,geologic mass which,Mesozoic  eras,defined
15,Pterosaurs and large marine reptiles died out in the Cretaceous,wiki,geologic  that,ago Paleogene Period Mya,is
15,Pterosaurs and large marine reptiles died out in the Cretaceous,wiki,It,last Mesozoic Era,is
15,Pterosaurs and large marine reptiles died out in the Cretaceous,wiki,German  translation,usually  K,abbreviated
15,Pterosaurs and large marine reptiles died out in the Cretaceous,wiki,eustatic sea that,shallow inland seas,was
15,Pterosaurs and large marine reptiles died out in the Cretaceous,wiki,extinct marine dinosaurs,land,populated
15,Pterosaurs and large marine reptiles died out in the Cretaceous,wiki,new  groups,mammals,appeared
15,Pterosaurs and large marine reptiles died out in the Cretaceous,wiki,many Paleogene extinction groups,avian  dinosaurs,ended
15,Pterosaurs and large marine reptiles died out in the Cretaceous,wiki,geologic mass which,Mesozoic  eras,defined
16,The end of the Cretaceous is a mass extinction.,wiki,geologic  that,ago Paleogene Period Mya,is
16,The end of the Cretaceous is a mass extinction.,wiki,It,last Mesozoic Era,is
16,The end of the Cretaceous is a mass extinction.,wiki,German  translation,usually  K,abbreviated
16,The end of the Cretaceous is a mass extinction.,wiki,eustatic sea that,shallow inland seas,was
16,The end of the Cretaceous is a mass extinction.,wiki,extinct marine dinosaurs,land,populated
16,The end of the Cretaceous is a mass extinction.,wiki,new  groups,mammals,appeared
16,The end of the Cretaceous is a mass extinction.,wiki,many Paleogene extinction groups,avian  dinosaurs,ended
16,The end of the Cretaceous is a mass extinction.,wiki,geologic mass which,Mesozoic  eras,defined
17,The end of the Cretaceous is a large mass extinction.,wiki,geologic  that,ago Paleogene Period Mya,is
17,The end of the Cretaceous is a large mass extinction.,wiki,It,last Mesozoic Era,is
17,The end of the Cretaceous is a large mass extinction.,wiki,German  translation,usually  K,abbreviated
17,The end of the Cretaceous is a large mass extinction.,wiki,eustatic sea that,shallow inland seas,was
17,The end of the Cretaceous is a large mass extinction.,wiki,extinct marine dinosaurs,land,populated
17,The end of the Cretaceous is a large mass extinction.,wiki,new  groups,mammals,appeared
17,The end of the Cretaceous is a large mass extinction.,wiki,many Paleogene extinction groups,avian  dinosaurs,ended
17,The end of the Cretaceous is a large mass extinction.,wiki,geologic mass which,Mesozoic  eras,defined
18,The Cretaceous is a Paleogene extinction activity.,wiki,geologic  that,ago Paleogene Period Mya,is
18,The Cretaceous is a Paleogene extinction activity.,wiki,It,last Mesozoic Era,is
18,The Cretaceous is a Paleogene extinction activity.,wiki,German  translation,usually  K,abbreviated
18,The Cretaceous is a Paleogene extinction activity.,wiki,eustatic sea that,shallow inland seas,was
18,The Cretaceous is a Paleogene extinction activity.,wiki,extinct marine dinosaurs,land,populated
18,The Cretaceous is a Paleogene extinction activity.,wiki,new  groups,mammals,appeared
18,The Cretaceous is a Paleogene extinction activity.,wiki,many Paleogene extinction groups,avian  dinosaurs,ended
18,The Cretaceous is a Paleogene extinction activity.,wiki,geologic mass which,Mesozoic  eras,defined
19,Nicholas Brody is a character on Homeland.,wiki,Nick  Brody,American Alex Gansa,is
19,Nicholas Brody is a character on Homeland.,wiki,USMC who,eight Qaeda years,was
19,Nicholas Brody is a character on Homeland.,wiki,home  Brody,war hero,hailed
19,Nicholas Brody is a character on Homeland.,wiki,Carrie Brody,terrorist al act,suspects
19,Nicholas Brody is a character on Homeland.,wiki,first  he,Congress,elected
19,Nicholas Brody is a character on Homeland.,wiki,third  he,Iranian Iranian Revolutionary Guard,executed
20,There is a Showtime series with Nicholas Brody as a character.,wiki,Nick  Brody,American Alex Gansa,is
20,There is a Showtime series with Nicholas Brody as a character.,wiki,USMC who,eight Qaeda years,was
20,There is a Showtime series with Nicholas Brody as a character.,wiki,home  Brody,war hero,hailed
20,There is a Showtime series with Nicholas Brody as a character.,wiki,Carrie Brody,terrorist al act,suspects
20,There is a Showtime series with Nicholas Brody as a character.,wiki,first  he,Congress,elected
20,There is a Showtime series with Nicholas Brody as a character.,wiki,third  he,Iranian Iranian Revolutionary Guard,executed
21,Homeland has a character named Nicholas Brody.,wiki,Nick  Brody,American Alex Gansa,is
21,Homeland has a character named Nicholas Brody.,wiki,USMC who,eight Qaeda years,was
21,Homeland has a character named Nicholas Brody.,wiki,home  Brody,war hero,hailed
21,Homeland has a character named Nicholas Brody.,wiki,Carrie Brody,terrorist al act,suspects
21,Homeland has a character named Nicholas Brody.,wiki,first  he,Congress,elected
21,Homeland has a character named Nicholas Brody.,wiki,third  he,Iranian Iranian Revolutionary Guard,executed
22,Nicholas Brody is also called Nick.,wiki,Nick  Brody,American Alex Gansa,is
22,Nicholas Brody is also called Nick.,wiki,USMC who,eight Qaeda years,was
22,Nicholas Brody is also called Nick.,wiki,home  Brody,war hero,hailed
22,Nicholas Brody is also called Nick.,wiki,Carrie Brody,terrorist al act,suspects
22,Nicholas Brody is also called Nick.,wiki,first  he,Congress,elected
22,Nicholas Brody is also called Nick.,wiki,third  he,Iranian Iranian Revolutionary Guard,executed
23,Damian Lewis plays Nicholas Brody.,wiki,Nick  Brody,American Alex Gansa,is
23,Damian Lewis plays Nicholas Brody.,wiki,USMC who,eight Qaeda years,was
23,Damian Lewis plays Nicholas Brody.,wiki,home  Brody,war hero,hailed
23,Damian Lewis plays Nicholas Brody.,wiki,Carrie Brody,terrorist al act,suspects
23,Damian Lewis plays Nicholas Brody.,wiki,first  he,Congress,elected
23,Damian Lewis plays Nicholas Brody.,wiki,third  he,Iranian Iranian Revolutionary Guard,executed
24,Nicholas Brody is a TV character.,wiki,Nick  Brody,American Alex Gansa,is
24,Nicholas Brody is a TV character.,wiki,USMC who,eight Qaeda years,was
24,Nicholas Brody is a TV character.,wiki,home  Brody,war hero,hailed
24,Nicholas Brody is a TV character.,wiki,Carrie Brody,terrorist al act,suspects
24,Nicholas Brody is a TV character.,wiki,first  he,Congress,elected
24,Nicholas Brody is a TV character.,wiki,third  he,Iranian Iranian Revolutionary Guard,executed
25,CBS is the network that aired The Millers.,wiki,American  that,Carol Miller,is
25,CBS is the network that aired The Millers.,wiki,camera  series,two  CBS,aired
25,CBS is the network that aired The Millers.,wiki,CBS,second  season,announced
25,CBS is the network that aired The Millers.,wiki,series,final  November,filmed
25,CBS is the network that aired The Millers.,wiki,2  production,season,produced
25,CBS is the network that aired The Millers.,wiki,financial line crew that,several  days,decided
25,CBS is the network that aired The Millers.,wiki,sudden  cancellation,Hollywood April,stated
26,The Millers's cancellation was announced four episodes into its second season in 2014.,wiki,American  that,Carol Miller,is
26,The Millers's cancellation was announced four episodes into its second season in 2014.,wiki,camera  series,two  CBS,aired
26,The Millers's cancellation was announced four episodes into its second season in 2014.,wiki,CBS,second  season,announced
26,The Millers's cancellation was announced four episodes into its second season in 2014.,wiki,series,final  November,filmed
26,The Millers's cancellation was announced four episodes into its second season in 2014.,wiki,2  production,season,produced
26,The Millers's cancellation was announced four episodes into its second season in 2014.,wiki,financial line crew that,several  days,decided
26,The Millers's cancellation was announced four episodes into its second season in 2014.,wiki,sudden  cancellation,Hollywood April,stated
27,The Millers was announced for cancellation.,wiki,American  that,Carol Miller,is
27,The Millers was announced for cancellation.,wiki,camera  series,two  CBS,aired
27,The Millers was announced for cancellation.,wiki,CBS,second  season,announced
27,The Millers was announced for cancellation.,wiki,series,final  November,filmed
27,The Millers was announced for cancellation.,wiki,2  production,season,produced
27,The Millers was announced for cancellation.,wiki,financial line crew that,several  days,decided
27,The Millers was announced for cancellation.,wiki,sudden  cancellation,Hollywood April,stated
28,The Millers aired on CBS in 2013.,wiki,American  that,Carol Miller,is
28,The Millers aired on CBS in 2013.,wiki,camera  series,two  CBS,aired
28,The Millers aired on CBS in 2013.,wiki,CBS,second  season,announced
28,The Millers aired on CBS in 2013.,wiki,series,final  November,filmed
28,The Millers aired on CBS in 2013.,wiki,2  production,season,produced
28,The Millers aired on CBS in 2013.,wiki,financial line crew that,several  days,decided
28,The Millers aired on CBS in 2013.,wiki,sudden  cancellation,Hollywood April,stated
29,Edgar Wright is a person.,wiki,He,recurrent Hot collaborators,known
29,Edgar Wright is a person.,wiki,He,also television series,collaborated
29,Edgar Wright is a person.,wiki,He,2010 Scott World,co
29,Edgar Wright is a person.,wiki,Steven he,The Unicorn,co
29,Edgar Wright is a person.,wiki,film Ant Wright,project,wrote
