Claim ID,Claim,Source,Node1,Node2,Label
5,Soul Food was produced by Tracey Edmonds.,response,American television drama that,2004,is
5,Soul Food was produced by Tracey Edmonds.,response,Jonathan it,American Los Angeles,created
5,Soul Food was produced by Tracey Edmonds.,response,show,ensemble Vanessa others,explores
5,Soul Food was produced by Tracey Edmonds.,response,It,several Outstanding Drama Series,received
5,Soul Food was produced by Tracey Edmonds.,response,you,other  questions,Let
5,Soul Food was produced by Tracey Edmonds.,response,I,Soul Food,apologize
5,Soul Food was produced by Tracey Edmonds.,response,you,person,'s
5,Soul Food was produced by Tracey Edmonds.,response,you,reliable  sources,do
6,There is a capital called Mogadishu.,response,here background Mogadishu,coastal Indian Ocean,is
6,There is a capital called Mogadishu.,response,city,important  centuries,has
6,There is a capital called Mogadishu.,response,10th Silajee it,1960,founded
6,There is a capital called Mogadishu.,response,city,vibrant 2 markets,has
6,There is a capital called Mogadishu.,response,Somali  it,political  development,been
6,There is a capital called Mogadishu.,response,city,important Somali National University,been
6,There is a capital called Mogadishu.,response,cultural  Mogadishu,political  instability,faced
6,There is a capital called Mogadishu.,response,such al it,clean  residents,been
6,There is a capital called Mogadishu.,response,However  Mogadishu,international  organizations,undergone
6,There is a capital called Mogadishu.,response,new  it,economic  activity,seen
6,There is a capital called Mogadishu.,response,which,rich  history,supported
6,There is a capital called Mogadishu.,response,I,request,apologize
6,There is a capital called Mogadishu.,response,information,Wikipedia,is
6,There is a capital called Mogadishu.,response,background it,background statement,provide
7,Mogadishu is located in a country.,response,Mogadishu,largest  Africa,is
7,Mogadishu is located in a country.,response,city,economic Indian country,situated
7,Mogadishu is located in a country.,response,2 million 2 Mogadishu,largest  Africa,is
7,Mogadishu is located in a country.,response,sovereign  that,southwest,is
7,Mogadishu is located in a country.,response,country,arid  regions,has
7,Mogadishu is located in a country.,response,diverse  that,Somalis,is
7,Mogadishu is located in a country.,response,when  it,important  trade,has
7,Mogadishu is located in a country.,response,cultural  that,music,influenced
7,Mogadishu is located in a country.,response,Mogadishu,strong  community,remains
7,Mogadishu is located in a country.,response,fragile  that,political  instability,is
7,Mogadishu is located in a country.,response,situation,other  country,plagued
7,Mogadishu is located in a country.,response,which,sovereign  Africa,located
7,Mogadishu is located in a country.,response,Mogadishu,rich  history,remains
7,Mogadishu is located in a country.,response,populous  which,Africa,is
7,Mogadishu is located in a country.,response,city,2.5 million 2.5 people,situated
7,Mogadishu is located in a country.,response,United Somalia,square  kilometers,is
7,Mogadishu is located in a country.,response,country,Djibouti  southwest,bordered
7,Mogadishu is located in a country.,response,capital city,political  nation,located
7,Mogadishu is located in a country.,response,Somalia,political  years,has
7,Mogadishu is located in a country.,response,country,civil  1991,gained
7,Mogadishu is located in a country.,response,humanitarian  which,profound  development,plagued
7,Mogadishu is located in a country.,response,Somalia,new  2017,made
7,Mogadishu is located in a country.,response,country,significant  terrorism,experienced
7,Mogadishu is located in a country.,response,United which,defined  territory,supported
7,Mogadishu is located in a country.,response,background information,additional  statement,provides
8,Mogadishu is a city.,response,Background MogadishuMogadishu,coastal Indian Ocean,is
8,Mogadishu is a city.,response,city,important  centuries,has
8,Mogadishu is a city.,response,HistoryMogadishu,10th Silajee clan,founded
8,Mogadishu is a city.,response,Islamic  merchants,such Middle spices,became
8,Mogadishu is a city.,response,British city,significant  modernization,became
8,Mogadishu is a city.,response,civil  that,such al Shabaab,experienced
8,Mogadishu is a city.,response,city,international aid organizations,undergone
8,Mogadishu is a city.,response,diverse  that,agriculture,is
8,Mogadishu is a city.,response,city,also  textiles,is
8,Mogadishu is a city.,response,East city,other Middle Africa,is
8,Mogadishu is a city.,response,InfrastructureMogadishu,international infrastructure roads,has
8,Mogadishu is a city.,response,city,educational  universities,has
8,Mogadishu is a city.,response,it,classical  sense,is
8,Mogadishu is a city.,response,political  many,still  process,damaged
8,Mogadishu is a city.,response,major  it,international  organizations,is
8,Mogadishu is a city.,response,it,urban  centers,is
8,Mogadishu is a city.,response,Mogadishu,coastal Benadir country,is
8,Mogadishu is a city.,response,2.5 million 2.5 Mogadishu,largest  Somalia,is
8,Mogadishu is a city.,response,Mogadishu,medieval  period,founded
8,Mogadishu is a city.,response,major Arabian China,goods,was
8,Mogadishu is a city.,response,Italian  city,significant  rule,occupied
8,Mogadishu is a city.,response,civil  that,central  government,plagued
8,Mogadishu is a city.,response,such al Shabaab,city,affected
8,Mogadishu is a city.,response,recent  government,international  infrastructure,made
8,Mogadishu is a city.,response,city,growing  agriculture,is
8,Mogadishu is a city.,response,cultural  it,political  instability,is
8,Mogadishu is a city.,response,However  city,important  Somalia,made
8,Mogadishu is a city.,response,Mogadishu,statement,hope
8,Mogadishu is a city.,response,else  I,further  questions,Let
9,Mogadishu is a capital city.,response,capital Mogadishu,coastal Indian Ocean,is
9,Mogadishu is a capital city.,response,city,important  centuries,has
9,Mogadishu is a capital city.,response,Mogadishu,10th  1960,founded
9,Mogadishu is a capital city.,response,city,Arab 2 populations,has
9,Mogadishu is a capital city.,response,Somali  city,political  development,been
9,Mogadishu is a capital city.,response,city,important Presidential Palace,is
9,Mogadishu is a capital city.,response,political  Mogadishu,important  education,is
9,Mogadishu is a capital city.,response,city,educational  Mogadishu,is
9,Mogadishu is a capital city.,response,city,many  museums,has
9,Mogadishu is a capital city.,response,However  Mogadishu,political  instability,faced
9,Mogadishu is a capital city.,response,such al infrastructure,severely  result,been
9,Mogadishu is a capital city.,response,Mogadishu,vital  Somalia,remains
9,Mogadishu is a capital city.,response,strategic  it,important  trade,make
9,Mogadishu is a capital city.,response,capital which,historical  significance,supported
9,Mogadishu is a capital city.,response,simple  that,statement,have
9,Mogadishu is a capital city.,response,Mogadishu,largest Indian Ocean,is
9,Mogadishu is a capital city.,response,city,cultural 2.5 heritage,has
9,Mogadishu is a capital city.,response,that,more  Mogadishu:1,been
9,Mogadishu is a capital city.,response,article,Mogadishu.2,provides
9,Mogadishu is a capital city.,response,Mogadishu  article,detailed  history,provides
9,Mogadishu is a capital city.,response,article,present  day,provides
9,Mogadishu is a capital city.,response,Mogadishu,statement,hope
9,Mogadishu is a capital city.,response,further  me,further  questions,let
10,Mogadishu's location is Somalia.,response,Mogadishu,coastal Benadir country,is
10,Mogadishu's location is Somalia.,response,city,medieval  period,has
10,Mogadishu's location is Somalia.,response,Somalia,southwest,is
10,Mogadishu's location is Somalia.,response,country,rugged Indian highlands,has
10,Mogadishu's location is Somalia.,response,Mogadishu,2 million 2 people,situated
10,Mogadishu's location is Somalia.,response,city,important Indian centuries,has
10,Mogadishu's location is Somalia.,response,medieval  Mogadishu,beautiful  architecture,was
10,Mogadishu's location is Somalia.,response,However  city,such al Shabaab,been
10,Mogadishu's location is Somalia.,response,Mogadishu,thriving  port,is
10,Mogadishu's location is Somalia.,response,city,important  Mogadishu,is
10,Mogadishu's location is Somalia.,response,Mogadishu,historical  evidence,supported
10,Mogadishu's location is Somalia.,response,rich Indian status,region,contribute
10,Mogadishu's location is Somalia.,response,else  I,further  questions,Let
10,Mogadishu's location is Somalia.,response,Background MogadishuMogadishu,largest Indian Africa,is
10,Mogadishu's location is Somalia.,response,city,political 2.5 situation,has
10,Mogadishu's location is Somalia.,response,Geography,southern Indian Ocean,situated
10,Mogadishu's location is Somalia.,response,city,high humidity year,has
10,Mogadishu's location is Somalia.,response,average  temperature,hottest  months,ranges
10,Mogadishu's location is Somalia.,response,city,dry  February,experiences
10,Mogadishu's location is Somalia.,response,long  that,medieval  period,has
10,Mogadishu's location is Somalia.,response,city,important  textiles,was
10,Mogadishu's location is Somalia.,response,19th  Mogadishu,trade  region,became
10,Mogadishu's location is Somalia.,response,Political SituationMogadishu,many  years,plagued
10,Mogadishu's location is Somalia.,response,city,extremist coup group,been
10,Mogadishu's location is Somalia.,response,surrounding  areas,various  militias,is
10,Mogadishu's location is Somalia.,response,primarily  port,East Africa,based
10,Mogadishu's location is Somalia.,response,city,international  organizations,has
10,Mogadishu's location is Somalia.,response,However  infrastructure,many  disrepair,recovering
10,Mogadishu's location is Somalia.,response,Education,educational  Mogadishu,has
10,Mogadishu's location is Somalia.,response,many  schools,civil  war,recovering
10,Mogadishu's location is Somalia.,response,medical healthcare system,still  conflict,has
10,Mogadishu's location is Somalia.,response,also  that,many  years,is
10,Mogadishu's location is Somalia.,response,primarily  infrastructure,civil  war,based
10,Mogadishu's location is Somalia.,response,education system,still healthcare conflict,struggling
10,Mogadishu's location is Somalia.,response,Mogadishu,strong  community,remains
11,Mogadishu is a place.,response,Background MogadishuMogadishu,coastal Indian Ocean,is
11,Mogadishu is a place.,response,city,important  centuries,has
11,Mogadishu is a place.,response,name,Arabic  water,derived
11,Mogadishu is a place.,response,name,early Ocean trade route,believed
11,Mogadishu is a place.,response,Mogadishu,2nd millennium BC,has
11,Mogadishu is a place.,response,when  it,Arab Middle East,was
11,Mogadishu is a place.,response,19th  Mogadishu,20th Somali century,became
11,Mogadishu is a place.,response,city,new  port,experienced
11,Mogadishu is a place.,response,civil  that,long time ruler,experienced
11,Mogadishu is a place.,response,city,new government institutions,undergone
11,Mogadishu is a place.,response,Geography  Mogadishu,coastal Indian Ocean,located
11,Mogadishu is a place.,response,city,hot savanna summers,has
11,Mogadishu is a place.,response,city,coastal Somali north,situated
11,Mogadishu is a place.,response,Mogadishu,diverse  Somali,has
11,Mogadishu is a place.,response,population,3 growth year,estimated
11,Mogadishu is a place.,response,city,educational  Mogadishu,is
11,Mogadishu is a place.,response,diverse  that,agriculture,is
11,Mogadishu is a place.,response,city,also food processing,is
11,Mogadishu is a place.,response,port,major  region,are
11,Mogadishu is a place.,response,Mogadishu,new infrastructure roads,has
11,Mogadishu is a place.,response,number,new housing developments,expanded
11,Mogadishu is a place.,response,Mogadishu,economic  Somalia,Conclusion
11,Mogadishu is a place.,response,significant  it,vital  region,undergone
11,Mogadishu is a place.,response,development  Mogadishu,continued  future,poised
11,Mogadishu is a place.,response,Mogadishu,coastal Indian Ocean,is
11,Mogadishu is a place.,response,city,political 2 region,has
11,Mogadishu is a place.,response,human  habitation,back Stone Age,has
11,Mogadishu is a place.,response,important Middle India,bustling  markets,been
11,Mogadishu is a place.,response,medieval  Mogadishu,major East Africa,was
11,Mogadishu is a place.,response,early  Mogadishu,significant British modernization,was
11,Mogadishu is a place.,response,However  city,such al Shabaab,experienced
11,Mogadishu is a place.,response,Mogadishu,ethnic business communities,remains
11,Mogadishu is a place.,response,place,following  sources:1,found
11,Mogadishu is a place.,response,Mogadishu which,comprehensive  history,article
11,Mogadishu is a place.,response,M. A. which,historical  region.3,Significance
11,Mogadishu is a place.,response,F. M. which,political  centuries,Mogadishu
11,Mogadishu is a place.,response,credible  Mogadishu,credible  statement,is
11,Mogadishu is a place.,response,physical  existence,widely  scholars,are
11,Mogadishu is a place.,response,attempts,flawed  information,based
12,The Cretaceous ended.,response,which,final Mesozoic Reptiles,was
12,The Cretaceous ended.,response,Cretaceous  period,flowering  dinosaurs,known
12,The Cretaceous ended.,response,Paleogene extinction which,Paleogene extinction event,came
12,The Cretaceous ended.,response,mass Pg that,avian  dinosaurs,was
12,The Cretaceous ended.,response,still Pg it,volcanic asteroid climate,debated
12,The Cretaceous ended.,response,Cretaceous  period,abruptly Cenozoic era,ended
12,The Cretaceous ended.,response,human  it,present  day,characterized
12,The Cretaceous ended.,response,Cretaceous  period,Pg extinction event,supported
12,The Cretaceous ended.,response,which,longest Phanerozoic eon,was
12,The Cretaceous ended.,response,also Pg which,Cenozoic era,ended
12,The Cretaceous ended.,response,mass  that,gradual asteroid climate,was
12,The Cretaceous ended.,response,extinction event,other  organisms,had
12,The Cretaceous ended.,response,such Paleogene which,Paleogene period,based
12,The Cretaceous ended.,response,thin glassy that,high  impact,characterized
12,The Cretaceous ended.,response,Cretaceous  period,end,is
12,The Cretaceous ended.,response,Cretaceous  others,first  time,shows
12,The Cretaceous ended.,response,significant mass extinction that,profound  biosphere,supports
13,In the Cretaceous pterosaurs and large marine reptiles died out.,response,which,significant 66 ecosystems,was
13,In the Cretaceous pterosaurs and large marine reptiles died out.,response,that,Mesozoic  era,began
13,In the Cretaceous pterosaurs and large marine reptiles died out.,response,One,notable  pterosaurs,is
13,In the Cretaceous pterosaurs and large marine reptiles died out.,response,that,Cretaceous Mesozoic period,began
13,In the Cretaceous pterosaurs and large marine reptiles died out.,response,that,150 million 150 years,gone
13,In the Cretaceous pterosaurs and large marine reptiles died out.,response,combination,flying climate decline,is
13,In the Cretaceous pterosaurs and large marine reptiles died out.,response,Large marine reptiles,Cretaceous  period,went
13,In the Cretaceous pterosaurs and large marine reptiles died out.,response,Mesozoic populations,completely  period,dominated
13,In the Cretaceous pterosaurs and large marine reptiles died out.,response,which,significant 66 Earth,was
13,In the Cretaceous pterosaurs and large marine reptiles died out.,response,supercontinent,modern  continents,began
13,In the Cretaceous pterosaurs and large marine reptiles died out.,response,process,profound  climate,had
13,In the Cretaceous pterosaurs and large marine reptiles died out.,response,Cretaceous  period,marine pterosaurs,marked
13,In the Cretaceous pterosaurs and large marine reptiles died out.,response,shallow  that,Cretaceous  period,adapted
13,In the Cretaceous pterosaurs and large marine reptiles died out.,response,oceans,species,began
13,In the Cretaceous pterosaurs and large marine reptiles died out.,response,One,Cretaceous mass period,occurred
13,In the Cretaceous pterosaurs and large marine reptiles died out.,response,event,massive asteroid impact,believed
13,In the Cretaceous pterosaurs and large marine reptiles died out.,response,extinction event,many  pterosaurs,had
13,In the Cretaceous pterosaurs and large marine reptiles died out.,response,pterosaurs,marine  time,is
13,In the Cretaceous pterosaurs and large marine reptiles died out.,response,many  species,Paleogene period,survived
13,In the Cretaceous pterosaurs and large marine reptiles died out.,response,known  species,Cretaceous 65 period,went
13,In the Cretaceous pterosaurs and large marine reptiles died out.,response,Additionally  species,such Paleogene period,is
13,In the Cretaceous pterosaurs and large marine reptiles died out.,response,many  pterosaurs,Cretaceous  period,is
13,In the Cretaceous pterosaurs and large marine reptiles died out.,response,volcanic asteroid which,marine  ecosystems,believed
13,In the Cretaceous pterosaurs and large marine reptiles died out.,response,Many  species,Cretaceous predatory period,went
13,In the Cretaceous pterosaurs and large marine reptiles died out.,response,fossil which,significant  time,supported
13,In the Cretaceous pterosaurs and large marine reptiles died out.,response,many  species,extinct  period,is
13,In the Cretaceous pterosaurs and large marine reptiles died out.,response,Paleogene extinction event,many marine pterosaurs,had
14,The Cretaceous finished with a large mass extinction.,response,background Cretaceous,large mass extinction,finished
14,The Cretaceous finished with a large mass extinction.,response,which,evolutionary 65 Earth,was
14,The Cretaceous finished with a large mass extinction.,response,large mass that,K extinction event,was
14,The Cretaceous finished with a large mass extinction.,response,Several Pg theories,gradual asteroid climate,proposed
14,The Cretaceous finished with a large mass extinction.,response,massive asteroid impact,avian 65 dinosaurs,is
14,The Cretaceous finished with a large mass extinction.,response,Pg extinction,marine  animals,had
14,The Cretaceous finished with a large mass extinction.,response,other  that,changing  conditions,had
14,The Cretaceous finished with a large mass extinction.,response,Cretaceous  period,large mass extinction,support
14,The Cretaceous finished with a large mass extinction.,response,significant  that,same  time,shows
14,The Cretaceous finished with a large mass extinction.,response,Chicxulub asteroid impact,observed extinction event,shown
14,The Cretaceous finished with a large mass extinction.,response,Cretaceous,fossil mass records,Conclusion
14,The Cretaceous finished with a large mass extinction.,response,extinction event,many  others,had
15,Pterosaurs and large marine reptiles died out in the Cretaceous,response,background Pterosaurs,marine  Cretaceous,died
15,Pterosaurs and large marine reptiles died out in the Cretaceous,response,Mesozoic which,Mesozoic era,were
15,Pterosaurs and large marine reptiles died out in the Cretaceous,response,other  that,body,characterized
15,Pterosaurs and large marine reptiles died out in the Cretaceous,response,Pterosaurs,flying  reptiles,came
15,Pterosaurs and large marine reptiles died out in the Cretaceous,response,aquatic  that,Mesozoic era,were
15,Pterosaurs and large marine reptiles died out in the Cretaceous,response,which,streamlined  bodies,included
15,Pterosaurs and large marine reptiles died out in the Cretaceous,response,highly Mesozoic they,different  species,were
15,Pterosaurs and large marine reptiles died out in the Cretaceous,response,which,last Mesozoic era,was
15,Pterosaurs and large marine reptiles died out in the Cretaceous,response,Earth,significant sea levels,underwent
15,Pterosaurs and large marine reptiles died out in the Cretaceous,response,many  species,Cretaceous  period,had
15,Pterosaurs and large marine reptiles died out in the Cretaceous,response,marine CretaceousThe Pterosaurs,scientific  evidence,died
15,Pterosaurs and large marine reptiles died out in the Cretaceous,response,many fossil species,Cretaceous  period,became
15,Pterosaurs and large marine reptiles died out in the Cretaceous,response,extinction event,volcanic asteroid climate,caused
15,Pterosaurs and large marine reptiles died out in the Cretaceous,response,known  that,Cretaceous  period,is
15,Pterosaurs and large marine reptiles died out in the Cretaceous,response,flying  that,Cretaceous  period,was
15,Pterosaurs and large marine reptiles died out in the Cretaceous,response,inland Western Interior that,Cretaceous North period,suggests
15,Pterosaurs and large marine reptiles died out in the Cretaceous,response,However  species,Cretaceous  period,thought
15,Pterosaurs and large marine reptiles died out in the Cretaceous,response,marine  reptiles,Cretaceous  period,went
15,Pterosaurs and large marine reptiles died out in the Cretaceous,response,once fossil record,Cretaceous  period,were
15,Pterosaurs and large marine reptiles died out in the Cretaceous,response,species,highly  creatures,become
15,Pterosaurs and large marine reptiles died out in the Cretaceous,response,statement,scientific  evidence,died
15,Pterosaurs and large marine reptiles died out in the Cretaceous,response,many  species,Cretaceous  period,shows
15,Pterosaurs and large marine reptiles died out in the Cretaceous,response,which,new Cenozoic era,marked
16,The end of the Cretaceous is a mass extinction.,response,background end,Cretaceous,is
16,The end of the Cretaceous is a mass extinction.,response,Cretaceous  which,mass 65 extinction,believed
16,The end of the Cretaceous is a mass extinction.,response,massive asteroid that,now Chicxulub Mexico,believed
16,The end of the Cretaceous is a mass extinction.,response,end,mass  extinction,support
16,The end of the Cretaceous is a mass extinction.,response,significant  that,such  hadrosaurs,portion
16,The end of the Cretaceous is a mass extinction.,response,so  it,avian  dinosaurs,was
16,The end of the Cretaceous is a mass extinction.,response,key  end,mass  extinction,is
16,The end of the Cretaceous is a mass extinction.,response,crater,180 Yucatan Mexico,is
16,The end of the Cretaceous is a mass extinction.,response,massive  which,many  species,thought
16,The end of the Cretaceous is a mass extinction.,response,rich Pg which,Paleogene period,includes
16,The end of the Cretaceous is a mass extinction.,response,rare  it,large  asteroid,is
16,The end of the Cretaceous is a mass extinction.,response,rich  end,massive asteroid impact,supports
16,The end of the Cretaceous is a mass extinction.,response,impact,many  species,conducted
16,The end of the Cretaceous is a mass extinction.,response,25 degrees which,many  species,found
16,The end of the Cretaceous is a mass extinction.,response,mass  that,massive asteroid impact,was
16,The end of the Cretaceous is a mass extinction.,response,Chicxulub Crater,rich computer idea,support
16,The end of the Cretaceous is a mass extinction.,response,end,significant  Earth,is
17,The end of the Cretaceous is a large mass extinction.,response,background end,Cretaceous,is
17,The end of the Cretaceous is a large mass extinction.,response,here background end,Cretaceous,'s
17,The end of the Cretaceous is a large mass extinction.,response,Paleogene K boundary,Cretaceous Paleogene epoch,is
17,The end of the Cretaceous is a large mass extinction.,response,numerous 66 species,plants,characterized
17,The end of the Cretaceous is a large mass extinction.,response,what,now Yucatan Mexico,believed
17,The end of the Cretaceous is a large mass extinction.,response,mass extinction,geological Pg evidence,supported
17,The end of the Cretaceous is a large mass extinction.,response,which,shocked Pg quartz,dated
17,The end of the Cretaceous is a large mass extinction.,response,Additionally  extinction,massive  impact,is
17,The end of the Cretaceous is a large mass extinction.,response,75  %,species,had
17,The end of the Cretaceous is a large mass extinction.,response,This,such  foraminifera,included
17,The end of the Cretaceous is a large mass extinction.,response,extinction event,iconic  biosphere,had
17,The end of the Cretaceous is a large mass extinction.,response,evidence,geological mass extinction data,based
17,The end of the Cretaceous is a large mass extinction.,response,Geological  evidence,sedimentary time period,includes
17,The end of the Cretaceous is a large mass extinction.,response,fossilized  that,fossilized  organisms,includes
17,The end of the Cretaceous is a large mass extinction.,response,significant extinction event,massive  impact,supports
17,The end of the Cretaceous is a large mass extinction.,response,end,geological mass extinction evidence,supported
17,The end of the Cretaceous is a large mass extinction.,response,Pg boundary mass extinction event,massive asteroid impact,had
17,The end of the Cretaceous is a large mass extinction.,response,this,available  topic,note
17,The end of the Cretaceous is a large mass extinction.,response,you,more reference information,explore
18,The Cretaceous is a Paleogene extinction activity.,response,background Cretaceous,background statement.<</SYS>>Statement,is
18,The Cretaceous is a Paleogene extinction activity.,response,background Cretaceous,background statement,generated
18,The Cretaceous is a Paleogene extinction activity.,response,Cretaceous Cretaceous Paleogene which,geological 66 upheaval,is
18,The Cretaceous is a Paleogene extinction activity.,response,notable Paleogene extinction which,many  species,was
18,The Cretaceous is a Paleogene extinction activity.,response,Paleogene extinction that,Cretaceous  period,proposed
18,The Cretaceous is a Paleogene extinction activity.,response,prolonged impact that,many  species,is
18,The Cretaceous is a Paleogene extinction activity.,response,other  factors,new Paleogene extinction activity,contributed
18,The Cretaceous is a Paleogene extinction activity.,response,accepted mass that,period,remains
18,The Cretaceous is a Paleogene extinction activity.,response,many Paleogene extinction that,Cretaceous  period,had
18,The Cretaceous is a Paleogene extinction activity.,response,avian  which,other  plants,were
18,The Cretaceous is a Paleogene extinction activity.,response,ecological  that,evolved  species,had
18,The Cretaceous is a Paleogene extinction activity.,response,This,new  species,led
18,The Cretaceous is a Paleogene extinction activity.,response,geological Paleogene extinction activity,notable  period,was
18,The Cretaceous is a Paleogene extinction activity.,response,asteroid impact,new  species,contributed
18,The Cretaceous is a Paleogene extinction activity.,response,Paleogene extinction activity,available  evidence,is
18,The Cretaceous is a Paleogene extinction activity.,response,background document,available  Wikipedia,note
18,The Cretaceous is a Paleogene extinction activity.,response,further  me,further  information,let
19,Nicholas Brody is a character on Homeland.,response,Nicholas Brody,Homeland,is
19,Nicholas Brody is a character on Homeland.,response,I,Wikipedia character,apologize
19,Nicholas Brody is a character on Homeland.,response,Additionally Nicholas Brody,fictional background Wikipedia,is
19,Nicholas Brody is a character on Homeland.,response,other  I,best,do
20,There is a Showtime series with Nicholas Brody as a character.,response,],Nicholas character,is
20,There is a Showtime series with Nicholas Brody as a character.,response,I,Showtime character,apologize
20,There is a Showtime series with Nicholas Brody as a character.,response,TV which,only  him,is
20,There is a Showtime series with Nicholas Brody as a character.,response,psychological thriller television that,2011,is
20,There is a Showtime series with Nicholas Brody as a character.,response,Alex it,Israeli television War,developed
20,There is a Showtime series with Nicholas Brody as a character.,response,U.S. who,Al Qaeda,follows
20,There is a Showtime series with Nicholas Brody as a character.,response,series,mental  Terror,explores
20,There is a Showtime series with Nicholas Brody as a character.,response,main  which,Showtime,is
21,Homeland has a character named Nicholas Brody.,response,background Homeland,character,has
21,Homeland has a character named Nicholas Brody.,response,Homeland,TV series Homeland,is
21,Homeland has a character named Nicholas Brody.,response,main  characters,Nicholas Brody Peter Quinn,are
21,Homeland has a character named Nicholas Brody.,response,Nicholas who,sleeper Al Qaeda,is
21,Homeland has a character named Nicholas Brody.,response,series,Carrie,follows
21,Homeland has a character named Nicholas Brody.,response,Homeland,such Nicholas show,has
22,Nicholas Brody is also called Nick.,response,Nicholas Brody,background statement.<</SYS>>Statement,called
22,Nicholas Brody is also called Nick.,response,Nicholas Brody,available  Wikipedia,apologize
22,Nicholas Brody is also called Nick.,response,Nicholas Brody,full TV Nick,mentioned
22,Nicholas Brody is also called Nick.,response,few  it,used  him,referred
22,Nicholas Brody is also called Nick.,response,I,Wikipedia,be
23,Damian Lewis plays Nicholas Brody.,response,Damian Lewis,Nicholas Brody,plays
23,Damian Lewis plays Nicholas Brody.,response,I,request,fulfill
23,Damian Lewis plays Nicholas Brody.,response,background it,background Wikipedia,is
23,Damian Lewis plays Nicholas Brody.,response,fictional Damian Lewis,role,is
23,Damian Lewis plays Nicholas Brody.,response,character,actor Claire Danes,played
23,Damian Lewis plays Nicholas Brody.,response,other  I,other  requests,be
23,Damian Lewis plays Nicholas Brody.,response,correct  I,you,provide
24,Nicholas Brody is a TV character.,response,Nicholas Brody,background statement.<</SYS>>Statement,is
24,Nicholas Brody is a TV character.,response,I,fictional background characters,'m
24,Nicholas Brody is a TV character.,response,Nicholas Brody,fictional television reality,is
24,Nicholas Brody is a TV character.,response,when  it,content,create
24,Nicholas Brody is a TV character.,response,notable Homeland that,actual  content,provide
25,CBS is the network that aired The Millers.,response,that,Millers,is
25,CBS is the network that aired The Millers.,response,American  that,2015,is
25,CBS is the network that aired The Millers.,response,show,Will Arnett,created
25,CBS is the network that aired The Millers.,response,knit  who,television news Louisville,followed
25,CBS is the network that aired The Millers.,response,commercial broadcast television that,largest United States,is
25,CBS is the network that aired The Millers.,response,CBS,popular Ed Sullivan Show,has
25,CBS is the network that aired The Millers.,response,Millers,two  May,premiered
25,CBS is the network that aired The Millers.,response,alike  many,witty  writing,received
