Claim,Source,Node,Edge,Label
The end of the Cretaceous is a mass extinction.,response,crater,about 180 kilometers,is
The end of the Cretaceous is a mass extinction.,response,end,the Chicxulub Crater,was
The end of the Cretaceous is a mass extinction.,response,which,around 25 degrees Celsius,had
The end of the Cretaceous is a large mass extinction.,wiki,that,79 million years,spans
The end of the Cretaceous is a large mass extinction.,wiki,that,79 million years,spans
The end of the Cretaceous is a large mass extinction.,response,>,Generate,Generate
The end of the Cretaceous is a large mass extinction.,response,what,the Yucatan Peninsula,is
The Cretaceous is a Paleogene extinction activity.,wiki,that,79 million years,spans
The Cretaceous is a Paleogene extinction activity.,wiki,that,79 million years,spans
The Cretaceous is a Paleogene extinction activity.,response,>,Generate,Generate
The Cretaceous is a Paleogene extinction activity.,response,activity,one,being
Nicholas Brody is a character on Homeland.,response,>,Generate,Generate
There is a Showtime series with Nicholas Brody as a character.,response,>,Generate,Generate
Homeland has a character named Nicholas Brody.,response,>,Generate,Generate
Homeland has a character named Nicholas Brody.,response,Marine,Carrie Mathison,is
Nicholas Brody is also called Nick.,response,>,Generate,Generate
Damian Lewis plays Nicholas Brody.,response,>,Generate,Generate
Damian Lewis plays Nicholas Brody.,response,Lewis,Nicholas Brody,plays
Damian Lewis plays Nicholas Brody.,response,statement,Nicholas Brody,plays
Nicholas Brody is a TV character.,response,>,Generate,Generate
CBS is the network that aired The Millers.,response,>,Generate,Generate
CBS is the network that aired The Millers.,response,that,Millers,aired
CBS is the network that aired The Millers.,response,that,Millers,aired
The Millers's cancellation was announced four episodes into its second season in 2014.,response,>,Generate,Generate
The Millers was announced for cancellation.,response,>,Generate,Generate
The Millers aired on CBS in 2013.,response,>,Generate,Generate
Edgar Wright is a person.,wiki,he,The Adventures of Tintin : The Secret of the Unicorn,co
Edgar Wright is a person.,wiki,he,The Adventures of Tintin : The Secret of the Unicorn,co
Edgar Wright is a person.,response,>,Generate,Generate
Edgar Wright is a person.,response,I,AI,'m
Edgar Wright is a person who acts.,wiki,he,The Adventures of Tintin : The Secret of the Unicorn,co
Edgar Wright is a person who acts.,wiki,he,The Adventures of Tintin : The Secret of the Unicorn,co
Edgar Wright is a person who acts.,response,>,Generate,Generate
Edgar Wright is a writer of screenplays.,wiki,he,The Adventures of Tintin : The Secret of the Unicorn,co
Edgar Wright is a writer of screenplays.,wiki,he,The Adventures of Tintin : The Secret of the Unicorn,co
Edgar Wright is a writer of screenplays.,response,>,Generate,Generate
Edgar Wright is a writer of screenplays.,response,film,Shaun of the Dead,was
Edgar Wright is from England.,wiki,he,The Adventures of Tintin : The Secret of the Unicorn,co
Edgar Wright is from England.,wiki,he,The Adventures of Tintin : The Secret of the Unicorn,co
Edgar Wright is from England.,response,>,Generate,Generate
Edgar Wright is from England.,response,he,the University of Bolton,studied
Edgar Wright is a director.,wiki,he,The Adventures of Tintin : The Secret of the Unicorn,co
Edgar Wright is a director.,wiki,he,The Adventures of Tintin : The Secret of the Unicorn,co
Edgar Wright is a director.,response,>,Generate,Generate
Edgar Wright is an actor.,wiki,he,The Adventures of Tintin : The Secret of the Unicorn,co
Edgar Wright is an actor.,wiki,he,The Adventures of Tintin : The Secret of the Unicorn,co
Edgar Wright is an actor.,response,>,Generate,Generate
Edgar Wright is an actor.,response,he,The World's End,directed
Edgar Wright is English.,wiki,he,The Adventures of Tintin : The Secret of the Unicorn,co
Edgar Wright is English.,wiki,he,The Adventures of Tintin : The Secret of the Unicorn,co
Edgar Wright is English.,response,>,Generate,Generate
Edgar Wright is English.,response,Wright,English,is
Edgar Wright is English.,response,Wright,English,is
Edgar Wright is a producer.,wiki,he,The Adventures of Tintin : The Secret of the Unicorn,co
Edgar Wright is a producer.,wiki,he,The Adventures of Tintin : The Secret of the Unicorn,co
Edgar Wright is a producer.,response,>,Generate,Generate
Edgar Wright is a person who directs.,wiki,he,The Adventures of Tintin : The Secret of the Unicorn,co
Edgar Wright is a person who directs.,wiki,he,The Adventures of Tintin : The Secret of the Unicorn,co
Edgar Wright is a person who directs.,response,>,Generate,Generate
Edgar Wright is a person who directs.,response,which,Hot Fuzz,received
Edgar Wright is a person who directs.,response,which,The World's End,received
Ann Richards was professionally involved in politics.,response,>,Generate,Generate
"For four years, Ann Richards was the Governor of Texas.",response,>,Generate,Generate
Ann Richards was the head of the executive branch of Texas's government.,response,>,Generate,Generate
Ann Richards was a governor for four years.,response,>,Generate,Generate
Ann Richards was a governor for four years.,response,She,Baylor University,attended
Ann Richards was the Governor of Texas from 1991 to 1995.,response,>,Generate,Generate
Ann Richards was the head of the executive branch of a state government.,response,>,Generate,Generate
Ann Richards was an American.,response,>,Generate,Generate
Ann Richards was an American.,response,Richards,American,was
Ann Richards was an American.,response,Richards,American,was
Ann Richards was an American.,response,Richards,American,was
Ann Richards was an American.,response,Richards,American,was
Ann Richards was the 45th Governor of Texas.,response,>,Generate,Generate
Ann Richards was the 45th Governor of Texas.,response,who,Ann Richards,is
Drake Bell put out an EP.,wiki,Bell,EP,released
Drake Bell put out an EP.,wiki,Bell,EP,released
Drake Bell put out an EP.,response,>,Generate,Generate
Drake Bell put out an EP.,response,Bell,EP,put
Drake Bell put out an extended play in 2011.,wiki,Bell,EP,released
Drake Bell put out an extended play in 2011.,wiki,Bell,EP,released
Drake Bell put out an extended play in 2011.,response,>,Generate,Generate
Drake Bell released an album.,wiki,Bell,EP,released
Drake Bell released an album.,wiki,Bell,EP,released
Drake Bell released an album.,response,>,Generate,Generate
Drake Bell put out A Reminder.,wiki,Bell,EP,released
Drake Bell put out A Reminder.,wiki,Bell,EP,released
Drake Bell put out A Reminder.,response,>,Generate,Generate
Drake Bell is a songwriter who sings what he's written.,wiki,Bell,EP,released
Drake Bell is a songwriter who sings what he's written.,wiki,Bell,EP,released
Drake Bell is a songwriter who sings what he's written.,response,>,Generate,Generate
Drake Bell released A Reminder.,wiki,Bell,EP,released
Drake Bell released A Reminder.,wiki,Bell,EP,released
Drake Bell released A Reminder.,response,>,Generate,Generate
Drake Bell released an EP.,wiki,Bell,EP,released
Drake Bell released an EP.,wiki,Bell,EP,released
Drake Bell released an EP.,response,>,Generate,Generate
Drake Bell released an EP.,response,Bell,EP,released
Drake Bell released an extended play in 2011.,wiki,Bell,EP,released
Drake Bell released an extended play in 2011.,wiki,Bell,EP,released
Drake Bell released an extended play in 2011.,response,>,Generate,Generate
Drake Bell released an extended play in 2011.,response,roles,Drake & Josh,shows
Drake Bell released A Reminder in 2011.,wiki,Bell,EP,released
Drake Bell released A Reminder in 2011.,wiki,Bell,EP,released
Drake Bell released A Reminder in 2011.,response,>,Generate,Generate
Aristotle spent time in Athens.,wiki,he,Academy,joined
Aristotle spent time in Athens.,wiki,Aristotle,Athens,left
Aristotle spent time in Athens.,wiki,he,Academy,joined
Aristotle spent time in Athens.,wiki,Aristotle,Athens,left
Aristotle spent time in Athens.,response,>,Generate,Generate
Aristotle tutored Alexander the Great.,wiki,he,Academy,joined
Aristotle tutored Alexander the Great.,wiki,Aristotle,Athens,left
Aristotle tutored Alexander the Great.,wiki,he,Academy,joined
Aristotle tutored Alexander the Great.,wiki,Aristotle,Athens,left
Aristotle tutored Alexander the Great.,response,>,Generate,Generate
Aristotle tutored Alexander the Great.,response,Aristotle,Alexander the Great,tutored
Aristotle tutored Alexander the Great.,response,Aristotle,Alexander the Great,tutored
Aristotle tutored Alexander the Great.,response,Aristotle,Alexander,tutored
Aristotle tutored Alexander the Great.,response,source,Life of Alexander,is
Aristotle tutored Alexander the Great.,response,father,Aristotle,asked
Aristotle tutored Alexander the Great.,response,Aristotle,Alexander,tutored
Aristotle tutored Alexander the Great.,response,Theophrastus,Alexander,tutored
Aristotle tutored Alexander the Great.,response,Aristotle,Alexander,tutored
Aristotle tutored Alexander the Great.,response,Aristotle,Alexander,tutored
Aristotle studied at Plato's Academy.,wiki,he,Academy,joined
Aristotle studied at Plato's Academy.,wiki,Aristotle,Athens,left
Aristotle studied at Plato's Academy.,wiki,he,Academy,joined
Aristotle studied at Plato's Academy.,wiki,Aristotle,Athens,left
Aristotle studied at Plato's Academy.,response,>,Generate,Generate
Aristotle studied at Plato's Academy.,response,he,one,became
Aristotle spent the majority of his life in Athens.,wiki,he,Academy,joined
Aristotle spent the majority of his life in Athens.,wiki,Aristotle,Athens,left
Aristotle spent the majority of his life in Athens.,wiki,he,Academy,joined
Aristotle spent the majority of his life in Athens.,wiki,Aristotle,Athens,left
Aristotle spent the majority of his life in Athens.,response,>,Generate,Generate
Aristotle spent the majority of his life in Athens.,response,who,Proxenus,was
Aristotle spent the majority of his life in Athens.,response,who,Plato,recognized
Aristotle spent the majority of his life in Athens.,response,Aristotle,Athens,left
Aristotle spent the majority of his life in Athens.,response,he,Lesbos,studied
Aristotle spent the majority of his life in Athens.,response,He,Lyceum,founded
Aristotle spent the majority of his life in Athens.,response,which,Lyceum,became
Aristotle was a student of Plato's Academy.,wiki,he,Academy,joined
Aristotle was a student of Plato's Academy.,wiki,Aristotle,Athens,left
Aristotle was a student of Plato's Academy.,wiki,he,Academy,joined
Aristotle was a student of Plato's Academy.,wiki,Aristotle,Athens,left
Aristotle was a student of Plato's Academy.,response,>,Generate,Generate
Aristotle was a student of Plato's Academy.,response,He,one,became
Aristotle spent time in Greece.,wiki,he,Academy,joined
Aristotle spent time in Greece.,wiki,Aristotle,Athens,left
Aristotle spent time in Greece.,wiki,he,Academy,joined
Aristotle spent time in Greece.,wiki,Aristotle,Athens,left
Aristotle spent time in Greece.,response,>,Generate,Generate
Aristotle spent time in Greece.,response,Aristotle,Athens,left
Aristotle spent time in Greece.,response,he,Lesbos,studied
Aristotle spent time in Greece.,response,he,Assos,studied
Aristotle spent time in Greece.,response,Aristotle,the last few years,spent
Aristotle spent time in Greece.,response,what,Greece,is
James VI and I was a major advocate of a single parliament for Scotland and England.,wiki,James,The True Law of Free Monarchies -LRB- 1598,was
James VI and I was a major advocate of a single parliament for Scotland and England.,wiki,James,The True Law of Free Monarchies -LRB- 1598,was
James VI and I was a major advocate of a single parliament for Scotland and England.,response,>,Generate,Generate
James VI and I was a major advocate of a single parliament for Scotland and England.,response,VI,the King of Scots and King of England,was
James VI and I was a major advocate of a single parliament for Scotland and England.,response,James,the King of Scots,became
James VI and I was a major advocate of a single parliament for Scotland and England.,response,he,"the ""Treaty of London",issued
James VI and I was a major advocate of a single parliament for Scotland and England.,response,which,"the ""Treaty of London",founded
James VI and I was a major advocate of a single parliament for Scotland and England.,response,that,Scotland,benefited
James VI and I was a ruler.,wiki,James,The True Law of Free Monarchies -LRB- 1598,was
James VI and I was a ruler.,wiki,James,The True Law of Free Monarchies -LRB- 1598,was
James VI and I was a ruler.,response,>,Generate,Generate
James VI and I was a ruler.,response,He,King of England,became
James VI and I was a ruler.,response,he,Bible,translated
James VI and I was a ruler.,response,He,the University of St. Andrews,founded
James VI and I was a ruler.,response,which,the English Parliament,resisted
James VI and I was a ruler.,response,he,Scotland,faced
James VI and I was a major advocate of a single parliament for England.,wiki,James,The True Law of Free Monarchies -LRB- 1598,was
James VI and I was a major advocate of a single parliament for England.,wiki,James,The True Law of Free Monarchies -LRB- 1598,was
James VI and I was a major advocate of a single parliament for England.,response,>,Generate,Generate
James VI and I was a major advocate of a single parliament for England.,response,VI,the King of England,was
James VI and I was a major advocate of a single parliament for England.,response,which,England,unify
James VI and I was a leader.,wiki,James,The True Law of Free Monarchies -LRB- 1598,was
James VI and I was a leader.,wiki,James,The True Law of Free Monarchies -LRB- 1598,was
James VI and I was a leader.,response,>,Generate,Generate
James VI and I was a major advocate of a single parliament.,wiki,James,The True Law of Free Monarchies -LRB- 1598,was
James VI and I was a major advocate of a single parliament.,wiki,James,The True Law of Free Monarchies -LRB- 1598,was
James VI and I was a major advocate of a single parliament.,response,>,Generate,Generate
James VI and I was a major advocate of a single parliament.,response,which,"the ""Book of Common Prayer",established
James VI and I was a major advocate of a single parliament for England and Scotland.,wiki,James,The True Law of Free Monarchies -LRB- 1598,was
James VI and I was a major advocate of a single parliament for England and Scotland.,wiki,James,The True Law of Free Monarchies -LRB- 1598,was
James VI and I was a major advocate of a single parliament for England and Scotland.,response,>,Generate,Generate
James VI and I was a major advocate of a single parliament for England and Scotland.,response,which,England,created
James VI and I was a person.,wiki,James,The True Law of Free Monarchies -LRB- 1598,was
James VI and I was a person.,wiki,James,The True Law of Free Monarchies -LRB- 1598,was
James VI and I was a person.,response,>,Generate,Generate
James VI and I was a person.,response,who,Scotland,ruled
James VI and I was a person.,response,He,King of England,became
James VI and I began the Plantation of Ulster.,wiki,James,The True Law of Free Monarchies -LRB- 1598,was
James VI and I began the Plantation of Ulster.,wiki,James,The True Law of Free Monarchies -LRB- 1598,was
James VI and I began the Plantation of Ulster.,response,>,Generate,Generate
James VI and I began the Plantation of Ulster.,response,Statement,the Plantation of Ulster,began
James VI and I began the Plantation of Ulster.,response,VI,the Plantation of Ulster,began
James VI and I began the Plantation of Ulster.,response,crowns,the Plantation of Ulster,saw
James VI and I began the Plantation of Ulster.,response,who,James VI,ruled
James VI and I began the Plantation of Ulster.,response,who,England,ruled
James VI and I began the Plantation of Ulster.,response,he,the Plantation of Ulster,saw
James VI and I began the Plantation of Ulster.,response,which,the Church of Ireland,became
James VI and I was a monarch of England.,wiki,James,The True Law of Free Monarchies -LRB- 1598,was
James VI and I was a monarch of England.,wiki,James,The True Law of Free Monarchies -LRB- 1598,was
James VI and I was a monarch of England.,response,>,Generate,Generate
James VI and I was a monarch of England.,response,He,the King James Bible,established
Marcus Bentley is a broadcaster.,response,>,Generate,Generate
There is a British actor name Marcus Bentley.,response,>,Generate,Generate
Marcus Bentley is an American broadcaster.,response,>,Generate,Generate
Marcus Bentley is a British actor.,response,>,Generate,Generate
Mel B released a song on Virgin Records in 2007.,wiki,which,an estimated $ 500,grossed
Mel B released a song on Virgin Records in 2007.,wiki,State,L.A. State of Mind was Brown 's,was
Mel B released a song on Virgin Records in 2007.,wiki,which,L.A. State of Mind was Brown 's,saw
Mel B released a song on Virgin Records in 2007.,wiki,State,L.A. State of Mind was Brown 's,was
Mel B released a song on Virgin Records in 2007.,wiki,State,Today,was
Mel B released a song on Virgin Records in 2007.,wiki,She,UK,joined
Mel B released a song on Virgin Records in 2007.,wiki,which,an estimated $ 500,grossed
Mel B released a song on Virgin Records in 2007.,wiki,State,L.A. State of Mind was Brown 's,was
Mel B released a song on Virgin Records in 2007.,wiki,which,L.A. State of Mind was Brown 's,saw
Mel B released a song on Virgin Records in 2007.,wiki,State,L.A. State of Mind was Brown 's,was
Mel B released a song on Virgin Records in 2007.,wiki,State,Today,was
Mel B released a song on Virgin Records in 2007.,wiki,She,UK,joined
Mel B released a song on Virgin Records in 2007.,response,>,Generate,Generate
Mel B had a career.,wiki,which,an estimated $ 500,grossed
Mel B had a career.,wiki,State,L.A. State of Mind was Brown 's,was
Mel B had a career.,wiki,which,L.A. State of Mind was Brown 's,saw
Mel B had a career.,wiki,State,L.A. State of Mind was Brown 's,was
Mel B had a career.,wiki,State,Today,was
Mel B had a career.,wiki,She,UK,joined
Mel B had a career.,wiki,which,an estimated $ 500,grossed
Mel B had a career.,wiki,State,L.A. State of Mind was Brown 's,was
Mel B had a career.,wiki,which,L.A. State of Mind was Brown 's,saw
Mel B had a career.,wiki,State,L.A. State of Mind was Brown 's,was
Mel B had a career.,wiki,State,Today,was
Mel B had a career.,wiki,She,UK,joined
Mel B had a career.,response,>,Generate,Generate
A song on Virgin Records was released by Mel B.,wiki,which,an estimated $ 500,grossed
A song on Virgin Records was released by Mel B.,wiki,State,L.A. State of Mind was Brown 's,was
A song on Virgin Records was released by Mel B.,wiki,which,L.A. State of Mind was Brown 's,saw
A song on Virgin Records was released by Mel B.,wiki,State,L.A. State of Mind was Brown 's,was
A song on Virgin Records was released by Mel B.,wiki,State,Today,was
A song on Virgin Records was released by Mel B.,wiki,She,UK,joined
A song on Virgin Records was released by Mel B.,wiki,which,an estimated $ 500,grossed
A song on Virgin Records was released by Mel B.,wiki,State,L.A. State of Mind was Brown 's,was
A song on Virgin Records was released by Mel B.,wiki,which,L.A. State of Mind was Brown 's,saw
A song on Virgin Records was released by Mel B.,wiki,State,L.A. State of Mind was Brown 's,was
A song on Virgin Records was released by Mel B.,wiki,State,Today,was
A song on Virgin Records was released by Mel B.,wiki,She,UK,joined
A song on Virgin Records was released by Mel B.,response,>,Generate,Generate
Mel B released a song on Virgin Records.,wiki,which,an estimated $ 500,grossed
Mel B released a song on Virgin Records.,wiki,State,L.A. State of Mind was Brown 's,was
Mel B released a song on Virgin Records.,wiki,which,L.A. State of Mind was Brown 's,saw
Mel B released a song on Virgin Records.,wiki,State,L.A. State of Mind was Brown 's,was
Mel B released a song on Virgin Records.,wiki,State,Today,was
Mel B released a song on Virgin Records.,wiki,She,UK,joined
Mel B released a song on Virgin Records.,wiki,which,an estimated $ 500,grossed
Mel B released a song on Virgin Records.,wiki,State,L.A. State of Mind was Brown 's,was
Mel B released a song on Virgin Records.,wiki,which,L.A. State of Mind was Brown 's,saw
Mel B released a song on Virgin Records.,wiki,State,L.A. State of Mind was Brown 's,was
Mel B released a song on Virgin Records.,wiki,State,Today,was
Mel B released a song on Virgin Records.,wiki,She,UK,joined
Mel B released a song on Virgin Records.,response,>,Generate,Generate
Mel B had a solo career.,wiki,which,an estimated $ 500,grossed
Mel B had a solo career.,wiki,State,L.A. State of Mind was Brown 's,was
Mel B had a solo career.,wiki,which,L.A. State of Mind was Brown 's,saw
Mel B had a solo career.,wiki,State,L.A. State of Mind was Brown 's,was
Mel B had a solo career.,wiki,State,Today,was
Mel B had a solo career.,wiki,She,UK,joined
Mel B had a solo career.,wiki,which,an estimated $ 500,grossed
Mel B had a solo career.,wiki,State,L.A. State of Mind was Brown 's,was
Mel B had a solo career.,wiki,which,L.A. State of Mind was Brown 's,saw
Mel B had a solo career.,wiki,State,L.A. State of Mind was Brown 's,was
Mel B had a solo career.,wiki,State,Today,was
Mel B had a solo career.,wiki,She,UK,joined
Mel B had a solo career.,response,>,Generate,Generate
"""I Want You Back"" was released by Mel B.",wiki,which,an estimated $ 500,grossed
"""I Want You Back"" was released by Mel B.",wiki,State,L.A. State of Mind was Brown 's,was
"""I Want You Back"" was released by Mel B.",wiki,which,L.A. State of Mind was Brown 's,saw
"""I Want You Back"" was released by Mel B.",wiki,State,L.A. State of Mind was Brown 's,was
"""I Want You Back"" was released by Mel B.",wiki,State,Today,was
"""I Want You Back"" was released by Mel B.",wiki,She,UK,joined
"""I Want You Back"" was released by Mel B.",wiki,which,an estimated $ 500,grossed
"""I Want You Back"" was released by Mel B.",wiki,State,L.A. State of Mind was Brown 's,was
"""I Want You Back"" was released by Mel B.",wiki,which,L.A. State of Mind was Brown 's,saw
"""I Want You Back"" was released by Mel B.",wiki,State,L.A. State of Mind was Brown 's,was
"""I Want You Back"" was released by Mel B.",wiki,State,Today,was
"""I Want You Back"" was released by Mel B.",wiki,She,UK,joined
"""I Want You Back"" was released by Mel B.",response,>,Generate,Generate
"""I Want You Back"" was released by Mel B.",response,art.jpg|thumbnail|left|I,Want You Back,Want
"""I Want You Back"" was released by Mel B.",response,I,I Want You Back,Want
"""I Want You Back"" was released by Mel B.",response,art.jpg|thumbnail|left|I,I Want You Back,Want
"""I Want You Back"" was released by Mel B.",response,I,I Want You Back,Want
"""I Want You Back"" was released by Mel B.",response,she,"""I Want You Back",release
"""I Want You Back"" was released by Mel B.",response,statement,I Want You Back,Want
A solo career was had by Mel B.,wiki,which,an estimated $ 500,grossed
A solo career was had by Mel B.,wiki,State,L.A. State of Mind was Brown 's,was
A solo career was had by Mel B.,wiki,which,L.A. State of Mind was Brown 's,saw
A solo career was had by Mel B.,wiki,State,L.A. State of Mind was Brown 's,was
A solo career was had by Mel B.,wiki,State,Today,was
A solo career was had by Mel B.,wiki,She,UK,joined
A solo career was had by Mel B.,wiki,which,an estimated $ 500,grossed
A solo career was had by Mel B.,wiki,State,L.A. State of Mind was Brown 's,was
A solo career was had by Mel B.,wiki,which,L.A. State of Mind was Brown 's,saw
A solo career was had by Mel B.,wiki,State,L.A. State of Mind was Brown 's,was
A solo career was had by Mel B.,wiki,State,Today,was
A solo career was had by Mel B.,wiki,She,UK,joined
A solo career was had by Mel B.,response,>,Generate,Generate
Shane Black was born in 1961.,response,>,Generate,Generate
Shane Black was born on the 16th.,response,>,Generate,Generate
There is an American screenwriter and director called Shane Black.,response,>,Generate,Generate
There is an American screenwriter and director called Shane Black.,response,he,Kiss Kiss Bang Bang,wrote
There is an American screenwriter and director called Shane Black.,response,-,Iron Man 3,wrote
The 16th was the day Shane Black was born.,response,>,Generate,Generate
The 16th was the day Shane Black was born.,response,Statement,the day,was
The 16th was the day Shane Black was born.,response,I,AI,'m
The 16th was the day Shane Black was born.,response,16th,the day,was
Shane Black is an American producer and actor.,response,>,Generate,Generate
"Shane Black was born on December 16th, 1961.",response,>,Generate,Generate
Jennifer Lopez made a single.,wiki,You,If You Had My Love,Had
Jennifer Lopez made a single.,wiki,Remixes,first,became
Jennifer Lopez made a single.,wiki,which,Ben Affleck,influenced
Jennifer Lopez made a single.,wiki,You,If You Had My Love,Had
Jennifer Lopez made a single.,wiki,Remixes,first,became
Jennifer Lopez made a single.,wiki,which,Ben Affleck,influenced
Jennifer Lopez made a single.,response,>,Generate,Generate
Jennifer Lopez made a single.,response,she,Jennifer Lopez,released
Jennifer Lopez made an album.,wiki,You,If You Had My Love,Had
Jennifer Lopez made an album.,wiki,Remixes,first,became
Jennifer Lopez made an album.,wiki,which,Ben Affleck,influenced
Jennifer Lopez made an album.,wiki,You,If You Had My Love,Had
Jennifer Lopez made an album.,wiki,Remixes,first,became
Jennifer Lopez made an album.,wiki,which,Ben Affleck,influenced
Jennifer Lopez made an album.,response,>,Generate,Generate
Jennifer Lopez made an album.,response,You,If You Had My Love,Had
Jennifer Lopez made an album.,response,album,Jenny,featured
Jennifer Lopez made an album.,response,It,Get Right,included
Jennifer Lopez made an album.,response,album,First Love,featured
Jennifer Lopez married a minimum of two times.,wiki,You,If You Had My Love,Had
Jennifer Lopez married a minimum of two times.,wiki,Remixes,first,became
Jennifer Lopez married a minimum of two times.,wiki,which,Ben Affleck,influenced
Jennifer Lopez married a minimum of two times.,wiki,You,If You Had My Love,Had
Jennifer Lopez married a minimum of two times.,wiki,Remixes,first,became
Jennifer Lopez married a minimum of two times.,wiki,which,Ben Affleck,influenced
Jennifer Lopez married a minimum of two times.,response,>,Generate,Generate
Jennifer Lopez married a minimum of two times.,response,she,Marc Anthony,married
Jennifer Lopez married a minimum of two times.,response,she,Alex Rodriguez,married
Jennifer Lopez made a studio album.,wiki,You,If You Had My Love,Had
Jennifer Lopez made a studio album.,wiki,Remixes,first,became
Jennifer Lopez made a studio album.,wiki,which,Ben Affleck,influenced
Jennifer Lopez made a studio album.,wiki,You,If You Had My Love,Had
Jennifer Lopez made a studio album.,wiki,Remixes,first,became
Jennifer Lopez made a studio album.,wiki,which,Ben Affleck,influenced
Jennifer Lopez made a studio album.,response,>,Generate,Generate
Jennifer Lopez was married.,wiki,You,If You Had My Love,Had
Jennifer Lopez was married.,wiki,Remixes,first,became
Jennifer Lopez was married.,wiki,which,Ben Affleck,influenced
Jennifer Lopez was married.,wiki,You,If You Had My Love,Had
Jennifer Lopez was married.,wiki,Remixes,first,became
Jennifer Lopez was married.,wiki,which,Ben Affleck,influenced
Jennifer Lopez was married.,response,>,Generate,Generate
Jennifer Lopez created a studio record.,wiki,You,If You Had My Love,Had
Jennifer Lopez created a studio record.,wiki,Remixes,first,became
Jennifer Lopez created a studio record.,wiki,which,Ben Affleck,influenced
Jennifer Lopez created a studio record.,wiki,You,If You Had My Love,Had
Jennifer Lopez created a studio record.,wiki,Remixes,first,became
Jennifer Lopez created a studio record.,wiki,which,Ben Affleck,influenced
